PROTOCOLO,ÓRGÃO,ENCAMINHAMENTO,MÊS,RESOLUBILIDADE,PEDIDO,ASSUNTO,RESPOSTA,TIPO RESPOSTA,MOTIVO TIPO
2019426,SEE,03/01/2019,janeiro,Concluído no Prazo,"Solicito a relação dos professores de Educação Física que foram APOSENTADOS, EXONERADOS, e FALECIDOS nos últimos 10 anos na GRE Agreste Meridional Garanhuns (nas cidades de Garanhuns, Bom Conselho e São João).""",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra impossibilitada de ser fornecida em virtude da exigência de trabalhos adicionais de análise por parte deste órgão, comprometendo o regular andamento dos trabalhos desta SEE, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, sugiro que o (a) usuário (a) indique um período menor para que esta SEE possa analisar a possibilidade no atendimento ao pleito.Atenciosamente,EMILIO VELUDO LOPESAutoridade Administrativa da LAI da Secretaria de EducaçãoPortaria SEE nº 5629, de 15/12/2016.",Acesso negado,Pedido exige tratamento adicional de dados
2019509,SEE,03/01/2019,janeiro,Concluído no Prazo,"Gostaria do nome de todos os aposentados dos últimos 10 anos, no cargo de professor de matemática pela secretaria de educação. Como também as respectivas datas de aposentadoria.",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, informo que a Fundação de Aposentadorias e Pensões dos Servidores do Estado de Pernambuco (FUNAPE) é o órgão competente para prestar as informações requeridas pelo usuário, sendo possível solicita-las por meio do link www.lai.pe.gov.br/web/funape/institucional .",Órgão não tem competência para responder,Não se aplica
2019615,COMPESA,03/01/2019,janeiro,Concluído no Prazo,"""Solicito a Compesa todos históricos das minhas reclamações, e o laudo do funcionário que esteve na minha residência no dia 13 para verificar se havia vazamento na residênciaMatrícula do Imóvel: xxxxxxxxxxxxx/xxxxxxxxxxxxxxx.",Serviço Público, Segue os anexos conforme solicitado.,Acesso concedido,Não se aplica
2019588,SES,03/01/2019,janeiro,Concluído Fora do Prazo,"A empresa LICITA DISTRIBUIDORA COMÉRCIO E SERVIÇOS EIRELI - EPP, CNPJ nº 1.278.884/0001-10, neste ato por mim representada, efetuou a entrega dos produtos constantes na Nota Fiscal n° 547, referente a Nota de Empenho 2017NE001923.Ocorre que até a presente data não houve pagamento do valor devido. Com base na Lei de Acesso à informação, requeiro informações da situação que se encontra o processo de pagamento, informando data e responsável pelo recebimento provisório, definitivo e/ou liquidação, além de demonstrar o motivo que o pagamento não foi efetuado dentro do prazo contratual. Além disto, requer-se o envio da lista de ordem cronológica dos pagamentos, para que seja comprovado que não houve nenhum pagamento fora da ordem, que não seja devidamente justificado.Além disto requer-se:a)",Execução Orçamentária e Financeira,"Recebemos da Diretoria Geral de Assistência Integrada à Saúde/SES/PE, Dra. Giselle Fonseca de Carvalho, resposta enviada por Sr Daniel de Oliveira Solano Lopes (Superintendente Administrativo e Financeiro do HOF), referente ao Pedido de Acesso à Informação de protocolo: 2019588, a qual segue por meio de anexo.""",Acesso parcialmente concedido,Não se aplica
2019823,SEFAZ,04/01/2019,janeiro,Concluído no Prazo,Gostaria de receber a lista das 100 empresas que mais recolheram ICMS no Estado de Pernambuco em 2017. Gostaria que a lista constasse o nome e o valor total recolhido.,Execução Orçamentária e Financeira,"Em resposta ao PAI Nº 2019823, enviamos a planilha em anexo, contendo a lista, em ordem alfabética, das 100 (cem) empresas maiores contribuintes do ICMS em 2017.Esclarecemos que, em virtude do sigilo fiscal previsto no art. 198 do Código Tributário Nacional, não é possível informar os valores recolhidos por cada empresa.",Acesso parcialmente concedido,Não se aplica
2019690,SEE,04/01/2019,janeiro,Concluído no Prazo,Gostaria de ter acesso a lista dos professores que se encontram contratados por prazo determinado no ano de 2018 a 2019.,Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra prejudicada em virtude do caráter genérico do pleito, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, registro que o (a) usuário (a) seja mais pontual e razoável nas solicitações em questão para que esse órgão possa prestar as informações com mais precisão, indicando, por exemplo, qual disciplina e escola.",Acesso negado,Pedido genérico
2019896,SEE,04/01/2019,janeiro,Concluído no Prazo,"Relação com os nomes dos professores contratados nas disciplinas de Ciências, Biologia e Química para a cidade de Lagoa Grande, com data de início e término dos contratos, bem como o nome das respectivas escolas em que os mesmos lecionam.Solicito ainda a lista com os nomes dos professores efetivos para a cidade e disciplinas mencionadas acima.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela,  encaminho em anexo relação completa com as informações relacionadas ao pedido do usuário, conforme solicitação.Outrossim, cumpre informar que não foram localizados professores efetivos lecionando na disciplina de Química no município de Lagoa Grande.",Acesso concedido,Não se aplica
2019900,SEE,04/01/2019,janeiro,Concluído no Prazo,"Relação com os nomes dos professores contratados nas disciplinas de Ciências, Biologia e Química para as cidades de Arcoverde, Buíque e Pedra com data de início e término dos contratos, bem como o nome das respectivas escolas em que os mesmos lecionam.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Ciências, Biologia e Química nos municípios de Arcoverde, Buíque e Pedra, conforme solicitação da LAI.Outrossim, cumpre informar que, atualmente, não existem contratos temporários na disciplina de Química nos municípios de Arcoverde, Buíque e Pedra",Acesso concedido,Não se aplica
2019907,SEE,04/01/2019,janeiro,Concluído no Prazo,"gostaria dos nomes (e as respectivas datas) dos professores efetivos da educação básica que foram exonerados de matemática em Olinda, do estado de pernambuco , dos últimos 10 anos.",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra impossibilitada de ser fornecida em virtude da exigência de trabalhos adicionais de análise por parte deste órgão, comprometendo o regular andamento dos trabalhos desta SEE, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, sugiro que o (a) usuário (a) indique um período menor para que esta SEE possa analisar a possibilidade no atendimento ao pleito.",Acesso negado,Pedido exige tratamento adicional de dados
2019916,SEE,04/01/2019,janeiro,Concluído Fora do Prazo,"Gostaria de ter acesso ao quantitativo de professores, de Biologia, contratados pela GRE Metropolitana Norte e em especial, Olinda.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, o qual solicita o quantitativo de professores contratados para atuar na disciplina de Biologia, com especificidade no município de Olinda, encaminho em anexo documento contendo as informações requeridas por essa LAI.",Acesso concedido,Não se aplica
201893019,SAD,04/01/2019,janeiro,Concluído no Prazo,"- Descrição a respeito do ato administrativo que motivou o recebimento de R$ 139,2 milhões, no mês de dezembro de 2018, no âmbito da Receita Patrimonial (Receita de Cessão do Direito de Operacionalização do Pagamento).- Cópia do contrato ou aditivo contratual que motivou o recebimento de receita supracitada.- Cópia do contrato 080/2015 firmado entre a Banco Bradesco S/A e a Secretaria de Administração.- Existem aditivos relativos ao contrato 080/2015? Se sim, solicito cópias.",Licitações e Contratos,"Informamos que foi disponibilizada pela SEPRI/SAD, na Ouvidoria Central da SAD, sito à Av. Antônio de Goes nº 194, 1º Andar, Pina, Recife-PE, de segunda-feira à sexta-feira, horário de 08:00 as 12:00 e 13:00 as 17:00, mídia digital com a documentação requerida.",Acesso concedido,Não se aplica
20191107,SEE,07/01/2019,janeiro,Concluído Fora do Prazo,"Gostaríamos de pedir algumas informações relativas ao(s) seguinte(s) concurso(s)Secretaria de Educação do Estado de Pernambuco - Educação Básica, realizado em 2016Secretaria de Educação do Estado de Pernambuco - Educação Especial, realizado em 2016Secretaria de Educação do Estado de Pernambuco - Educação Especial - Reaplicação, realizado em 2016Secretaria de Educação do Estado de Pernambuco - Educação Profissional, realizado em 2016As informações que precisamos são as seguintes:·        Lista dos candidatos convocados·        Lista dos candidatos que tomaram posseGostaríamos que fossem incluídos não apenas os candidatos convocados/empossados em primeira chamada, mas todos aqueles convocados enquanto durou a validade do concurso.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, informo que, com base nos dados apresentados pela Secretaria Executiva de Educação Profissional, setor desta Secretaria de Educação, que segue em anexo cópia dos atos de nomeação, conforme solicitação do usuário.Outrossim, cumpre registrar que, tendo em vista o preconizado pelo Decreto n° 39.117/2013, as informações concernentes a posse, informe tal questão é de competência da Secretaria de Administração, sendo necessário que o usuário em tela requeira tais informações ao órgão por meio do link www2.sad.pe.gov.br/web/sad/fale-com-a-ouvidoria .",Acesso parcialmente concedido,Não se aplica
20191155,SEE,07/01/2019,janeiro,Concluído no Prazo,"Venho solicitar informações atualizadas, descriminadas abaixo, para os município de Carpina, Paudalho e Lagoa do Carro (GRE Nazaré da Mata):- Professores de Biologia que tiveram os contratos renovados para o ano letivo de 2019 e escola de lotação;- Professores de Biologia com contratos de 2018 ainda ativos e respectivas escolas de lotação;- Professores efetivos substituídos por estes professores contratados, identificando a função atual ou motivo do afastamento nos casos previstos (exemplo: diretor, educador de apoio, licença médica, licença sem vencimento, etc.).*Por favor, incluir professores com qualquer carga horária em Biologia, quando lecionar em mais de uma disciplina.*Caso, o pedido demande mais tempo que o prazo legal para atendimento, por favor, considerar apenas a cidade de Carpina.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Biologia contratados no ano de 2018 e que tiveram os contratos renovados em 2019, conforme solicitação da LAI.Outrossim, quanto ao segundo tópico da solicitação (Professores efetivos substituídos por estes professores contratados, identificando a função atual ou motivo do afastamento nos casos previstos (exemplo: diretor, educador de apoio, licença médica, licença sem vencimento, etc.) informo que tal informação não é disponível no sistema de consulta desta SEE, de qual a função ou motivo de afastamento para contratação dos professores contratados, motivo pelo qual não há como sanar tal ponto.",Acesso parcialmente concedido,Não se aplica
2019901,SEE,07/01/2019,janeiro,Concluído Fora do Prazo,Gostaria de receber a lista de professores contratados na área de matemática do município de Petrolina.,Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de matemática no município de Petrolina, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
20191256,COMPESA,07/01/2019,janeiro,Concluído no Prazo,""" o cadastro das redes subterrâneas de água e esgoto ou quaisquer interferências de vossa responsabilidade, preferencialmente em arquivo digital, contendo as informações precisas de localização, com o intuito de planejar a passagem da rede de gás natural sem que venha a interferir nas redes subterrâneas já existentes.Anexo a esta carta encaminhamos em arquivo digital:- Arquivo kmz contemplando a diretriz proposta para o gasoduto.""",Saneamento,"  "" Tendo em vista a presente demanda da LAI,  ¨Qual a área objeto da solicitação (município, bairro ou setor)?¨, bem como solicitamos ao Cidadão  o arquivo que o mesmo citou que estava em anexo no seu requerimento, não veio o anexo, conforme se segue:¨Anexo a esta carta encaminhamos em arquivo digital: - Arquivo kmz contemplando a diretriz proposta para o gasoduto.""",Solicitadas informações adicionais,Não se aplica
20191277,SEE,11/01/2019,janeiro,Concluído no Prazo,"Gostaria de todos os nomes dos professores efetivos de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, que foram aposentados nos últimos 10 anos. Com as respectivas datas de aposentadoria.",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra prejudicada em virtude do caráter genérico do pleito, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, registro que a usuária seja mais pontual e razoável.",Acesso negado,Pedido exige tratamento adicional de dados
20191278,SEE,07/01/2019,janeiro,Concluído no Prazo,"Gostaria de todos os nomes dos professores efetivos de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, que foram exonerados nos últimos 10 anos. Com as respectivas datas de exoneração.",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra impossibilitada de ser fornecida em virtude da exigência de trabalhos adicionais de análise por parte deste órgão, comprometendo o regular andamento dos trabalhos desta SEE, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, sugiro que o (a) usuário (a) indique um período menor para que esta SEE possa analisar a possibilidade no atendimento ao pleito.",Acesso negado,Pedido exige tratamento adicional de dados
20191280,SEE,07/01/2019,janeiro,Concluído no Prazo,"""Gostaria de todos os nomes dos professores efetivos de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, que foram demitidos nos últimos 10 anos. Com as respectivas datas de demissão.""",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra impossibilitada de ser fornecida em virtude da exigência de trabalhos adicionais de análise por parte deste órgão, comprometendo o regular andamento dos trabalhos desta SEE, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, sugiro que o (a) usuário (a) indique um período menor para que esta SEE possa analisar a possibilidade no atendimento ao pleito.",Acesso negado,Pedido exige tratamento adicional de dados
20191281,SEE,07/01/2019,janeiro,Concluído no Prazo,"Gostaria de todos os nomes dos professores efetivos de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, que foram pediram transferência nos últimos 10 anos. Com as respectivas datas de transferência.",Servidores,"Em atenção ao Pedido de Acesso a Informação em tela, com fulcro no Art. 13, inciso III, do Decreto n° 7.724, de 16 de maio de 2012, informo que o fornecimento da informação se encontra impossibilitada de ser fornecida em virtude da exigência de trabalhos adicionais de análise por parte deste órgão, comprometendo o regular andamento dos trabalhos desta SEE, conforme elucidado pelo Inciso III, do supramencionado artigo.Artigo 13. Não serão atendidos pedidos de acesso à informação.I-genéricos;II- desproporcionais ou desarrazoados, ouIII-que exijam trabalhos adicionais de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados que seja de competência do órgão ou entidade.Desta feita, sugiro que o (a) usuário (a) indique um período menor para que esta SEE possa analisar a possibilidade no atendimento ao pleito.",Acesso negado,Pedido exige tratamento adicional de dados
20191282,SEE,07/01/2019,janeiro,Concluído no Prazo,"Gostaria de todos os nomes dos professores contratados de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, com contrato em vigor em dezembro de 2018.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo, dados apresentados pela Gerência de Desenvolvimento de Pessoas, setor desta Secretaria de Educação, contendo a relação dos professores contratados para lecionar na disciplina de Matemática no município de Olinda, referente a educação básica com contratos em vigência em dezembro/2018, conforme solicitação da LAI.",Acesso concedido,Não se aplica
20191283,SEE,07/01/2019,janeiro,Concluído Fora do Prazo,"Gostaria de todos os nomes dos professores contratados de matemática da secretaria de educação de pernambuco, da região de Olinda, de educação básica, com contrato em vigor em Janeiro de 2019.",Servidores,"Em atenção ao Pedido ao Acesso à Informação em tela, encaminho em anexo planilha contendo a relação dos professores contratados para lecionar na disciplina de matemática no município de Olinda, com contratos em vigor em janeiro/2019, conforme solicitação dessa LAI.",Acesso concedido,Não se aplica
